crop,year,Governorates,variety,land_type,Area_ha,Yield_tonha,Prod_ton
Irrigated wheat,2013,Assuit,Local Broken,New Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Local Broken,Tota,NA,NA,NA
Irrigated wheat,2013,Assuit,Seds 5,Old Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Seds 5,New Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Seds 5,Tota,NA,NA,NA
Irrigated wheat,2013,Assuit,Beni Suef 4,Old Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Beni Suef 4,New Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Beni Suef 4,Tota,NA,NA,NA
Irrigated wheat,2013,Assuit,Gemmeza 1,Old Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Gemmeza 1,New Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Gemmeza 1,Tota,NA,NA,NA
Irrigated wheat,2013,Assuit,Seds 11,Old Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Seds 11,New Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Seds 11,Tota,NA,NA,NA
Irrigated wheat,2013,Assuit,Seds 22,Old Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Seds 22,New Land,NA,NA,NA
Irrigated wheat,2013,Assuit,Seds 22,Tota,NA,NA,NA
Irrigated wheat,2013,Aswan,Seds 12,Old Land,144.48,6.987126245847176,1009.5
Irrigated wheat,2013,Aswan,Seds 12,New Land,NA,NA,NA
Irrigated wheat,2013,Aswan,Seds 12,Tota,144.48,6.987126245847176,1009.5
Irrigated wheat,2013,Aswan,Masr 1,Old Land,167.57999999999998,7.172395273899034,1201.95
Irrigated wheat,2013,Aswan,Masr 1,New Land,673.26,2.857142857142857,1923.6
Irrigated wheat,2013,Aswan,Masr 1,Tota,840.8399999999999,3.717175681461396,3125.5499999999997
Irrigated wheat,2013,Aswan,Giza 168,Old Land,3833.7599999999998,6.5993567672467766,25300.35
Irrigated wheat,2013,Aswan,Giza 168,New Land,8900.22,6.658032048645988,59257.95
